TARGET,KEY PERFORMANCE INDICATOR,NOTES ON OUR PROGRESS
PROMOTE POSITIVE DRINKING,,
"Champion health literacy and
tackle harm through DRINKiQ
in every market where we live,
work, source and sell.
SDG alignment: 3.4; 3.5; 17.16","Unique site visits to DRINKiQ
104,489","This is 317% of our annual target for 2022 to reach 33,000
people. It is also a significant increase from 2021, where
we had 8,158 unique site visits to DRINKiQ. This increase is
predominantly due to the launch of DRINKiQ in Tanzania and
Kenya in both English and Kiswahili. DRINKiQ is our mobile
friendly, e-learning tool designed to provide consumers with
the information they need to make positive decisions around
drinking responsibly and tackle myths around drinking alcohol."
"Scale up our SMASHED
partnership, and educate
35,500 young people, parents,
and teachers on the dangers of
underage drinking.
SDG alignment: 3.5; 12.8; 17.16","People educated through
SMASHED partnership
48,690","This is 137% of our annual target for 2022. We surpassed our
annual target of 35,500 people to reach a total of 48,690 young
people, parents and teachers across East Africa. We were able
to surpass our 2021 numbers (2,245 people) due to the launch
of our SMASHED partnership in Tanzania and Kenya. SMASHED
partnership was piloted in regions where our research showed
high prevalence of underage alcohol consumption."
"Promote changes in attitudes
to drink driving reaching 45,000
people.
SDG alignment: 3.5; 3.6; 12.8;
17.16","People educated via Wrong Side of
the Road programme
29,729","We aimed to educate 45,000 people through our Wrong Side
of the Road Programme. However, we managed to reach 66%
of our annual target – 29,729 people. The gap was mainly as
a result of an online access issue which led to a change in the
mode of delivery of the programme. In 2023, the programme
will be mainly delivered through face-to-face interactions."
"Leverage Diageo marketing and
innovation to make moderation
the norm – reaching twenty one
million (21,000,000) people with
dedicated responsible drinking
messaging.
SDG alignment: 3.5; 12.8; 17.16","People reached with messages of
moderation
7,577,715","We aimed to reach 21,000,000 in 2022, with messages of
moderation this year, however we fell below our target due to
data capture and reporting challenges. At the same time, we
have, now, enhanced our methodologies around data capture
and measuring, to a more systemic process that is corroborated
across all sectors of our business."
