Board of Directors,Column,Column,Column
"Dr. M. Oduor-Otieno* – Board Chairman (Appointed Chairman on 1 January 2020)
Mr. C. Muchene* (Former Group Chairman) - Retired on 31 December 2019
Mr. J. O’Keeffe **
Mr. A. Cowan*** (Group Managing Director)
Dr. G. Geiszl*** (Resigned on 30 April 2020)
Mrs. J. Karuku**
Mr. J. Katto*
Ms. C. Musyoka*
Mr. J. Mugerwa*
Mr. J Ulanga *
Mr. L. Breen** - Appointed on 30 January 2020
Ms. Risper Ohaga*** – Appointed on 1 May 2020
Company Secretary
Ms. Kathryne Maundu – (Appointed on 28 March 2020)
Ms Joyce Munene - (Resigned on 27 March 2020)
*Independent Non Executive Director
** Non Executive Director
*** Executive Director",,,
"Board Corporate
Governance Committee","The Board Audit and Risk
Management Committee","Board Nominations and
Remuneration Committee","Board Investment Committee – Ad
Hoc Committee"
"Mr. J. Katto – Chairman
Ms. C. Musyoka
Mr. J. Ulanga
Ms. K. Maundu (Secretary)","Mr. J. Ulanga – Chairman
Mr. J. Katto
Mr. J. Mugerwa
Mr. L. Breen
Ms. K. Maundu (Secretary)","Ms. C. Musyoka - Chairman
Mr. M. Oduor-Otieno
Mr. J Mugerwa
Mr. J. O’Keeffe
Ms. K. Maundu (Secretary)","Ms. C. Musyoka - Chairman
Mr. J. Katto
Ms. R. Ohaga
Ms. K. Maundu (Secretary)"
