Column,At start of year,Shares awarded,Shares exercised,Leaver,"Total (vested and
unvested)"
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
Andrew Cowan,"54,674","14,835","(4,222)",-,"65,287"
Jane Karuku,"8,433","12,276",-,-,"20,709"
György Geiszl,"7,859","4,781","(1,148)",-,"11,492"
Charles Ireland,"58,040","24,515","(2,765)",-,"79,790"
Total,"129,006","56,407","(8,135)",-,"177,278"
