Column,27.07.2021,25.10.2021,24.01.2022,21.04.2022,22.06.2022
Mr. John Ulanga,√,√,√,√,√
Mr. Japheth Katto,√,√,√,√,√
Mr. Jimmy Mugerwa,√,√,√,√,√
Mr. Leo Breen,√,√,√,Absent with apology,√
Ms. Ory Okolloh,√,√,√,√,Absent with apology
