Share capital,"Share
premium","Share based
payment
reserve","Proposed
dividends","Retained
earnings",Total equity
Kshs’000,Kshs’000,Kshs ‘000,Kshs’000,Kshs’000,
"1,581,547","1,691,151","14,584","4,349,259","8,645,297",
-,-,-,-,"6,965,799",
-,-,"11,600",-,-,
-,-,-,"4,744,646","(4,744,646)",
-,-,-,-,"(1,976,935)",
-,-,-,"(4,349,259)",-,
-,-,"11,600","395,387","(6,721,581)",
"1,581,547","1,691,151","26,184","4,744,646","8,889,515",
"1,581,547","1,691,151",-,"4,349,259","12,516,751",
-,-,,-,"2,059,353",
-,-,"14,584",-,-,
-,-,-,"4,349,259","(4,349,259)",
-,-,-,-,"(1,581,548)",
-,-,-,"(4,349,259)",-,
-,-,"14,584",-,"(5,930,807)",
"1,581,547","1,691,151","14,584","4,349,259","8,645,297",
