Buildings,Motor vehicles,"Leasehold
property",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
"689,296","1,362,954","69,235","2,121,485"
"33,526","346,875",-,"380,401"
-,"(159,642)",-,"(159,642)"
"13,089","33,124",45,"46,258"
"735,911","1,583,311","69,280","2,388,502"
"47,576","469,432","27,062","544,070"
"84,812","373,860",8,"458,680"
-,"(82,944)",-,"(82,944)"
"2,076","14,636",4,"16,716"
"134,464","774,984","27,074","936,522"
"601,447","808,327","42,206","1,451,980"
