Note,As at 30th June,Column
,"2022
Kshs ‘000","2021
Kshs ‘000"
16,"1,581,547","1,581,547"
16,"1,691,151","1,691,151"
17,"103,861","73,476"
,"16,720,614","19,540,747"
14,"5,733,114",-
,"25,830,287","22,886,921"
29,"29,208,333","37,108,333"
30,"9,137","5,283"
,"29,217,470","37,113,616"
,"55,047,757","60,000,537"
20,"404,613","443,176"
21,"15,839","12,599"
22,"43,555","123,519"
24,"46,949,685","47,037,625"
25,"10,000","10,000"
34,"31,124,163","31,036,117"
19,"540,552","841,629"
,"79,088,407","79,504,665"
27,"1,562,146","3,335,382"
,"2,619,590","2,300,544"
33,"6,989,353","1,761,351"
,"11,171,089","7,397,277"
28,"26,223,218","19,320,605"
14,"683,601","673,463"
33,"1,665,407",-
29,"6,633,333","6,900,000"
30,"6,180","7,337"
,"35,211,739","26,901,405"
,"(24,040,650)","(19,504,128)"
,"55,047,757","60,000,537"
