Reward Element,Description
"Shares / stock
options","Purpose and link to Group Strategy
• These provide focus on delivering superior long-term consistent performance in line with Diageo’s business strategy
and to create alignment with the delivery of value and returns to shareholders.
Operation
The Executive Directors participate in the below plans:
• Diageo Executive Long Term Investment Plan (DELTIP) – Under this plan, Diageo has discretion to grant Restricted
Stock Units (RSUs) and/or share options in Diageo plc. Awards are normally made annually in September. DELTIP
encourages leaders of the business to act like owners by linking reward to Diageo plc’s share price performance.
Awards will normally vest three years after grant, subject to continued employment. Employees can exercise their
options at any time within the seven year period following the vesting date.
• The Performance Share Plan (PSP) – This is a long-term incentive that offers the executive the opportunity to receive
a conditional award overshares in Diageo plc, subject to the achievement of performance conditions: organic
Profit Before Exceptional Items and Tax (PBET), organic Net Sales Value (NSV) growth and Environmental, Social and
Governance (ESG) priorities. Provided that the performance conditions are met, shares will vest and be released
to participants three years after the date of grant. The proportion of the award released depends on the extent to
which the performance conditions are met.
Performance measure for the right to receive shares – The vesting of awards is linked to a range of measures
which may include, but are not limited to:
• A growth measure (e.g. net sales growth, operating profit growth);
• A measure of efficiency (e.g. operating margin, cumulative free cash flow, return on invested capital);
• A measure of Diageo’s performance in relation to its peers (e.g. relative total shareholder return); and
• A measure relating to ESG (environmental, social or governance) priorities."
Company product,"All Directors are eligible to receive a discretionary choice from a select product range to enable them experience the
Company brands first hand. The value of the products is Kshs 3,000 per month. There is no cash alternative to product
allowance and it is not a contractual benefit."
Notice period,"The notice period is defined in the individual contracts. Local contracts provide for 3 months notice period. Notice
period for international assignees is defined by their home contracts terms of service."
"Termination
payments","These are defined by Company policy, which provides for severance payment, payment in lieu of notice and payment
of any accrued fixed pay and leave."
"Compensation for
past Directors","This report includes payments made in the relevant financial year to any person who was not a Director of the Company
at the time of the payment was made but had previously been a Director of the Company."
