Note,Year ended 30th June,Column
,2022,2021
,Kshs ‘000,Kshs ‘000
6,"109,409,027","85,961,815"
7,"(56,553,029)","(48,548,122)"
,"52,855,998","37,413,693"
,"(9,733,709)","(7,362,119)"
8,"(10,841,540)","(9,320,113)"
9,"(4,028,499)","(5,924,689)"
12,"184,528","91,242"
12,"(4,420,520)","(4,039,981)"
10,"24,016,258","10,858,033"
13,"(8,441,859)","(3,896,093)"
,"15,574,399","6,961,940"
15,"11,857,336","4,354,228"
18,"3,717,063","2,607,712"
,"15,574,399","6,961,940"
15,15.00,5.51
