Column,"Contribution to
Overall EABL",HY Growth,Key Brands
KENYA,"61
%","+3
%",
UGANDA,"18
%","+7
%",
TANZANIA,"12
%","+17
%",
EABLi,"9
%","+118
%",
Total EABL,"100
%","+9
%",
