Column,2018,2017
,Kshs ‘000,Kshs ‘000
Income tax expense,,
Current income tax,,
Current year charge,"3,423,241","4,725,556"
Under / (over) provision of tax in prior years,"125,196","(484,345)"
Current income tax charge,"3,548,437","4,241,211"
Deferred income tax (Note 20),,
Current year charge,"901,377","439,340"
Under provision of tax in prior years,"36,441","112,214"
Deferred income tax charge,"937,818","551,554"
Total income tax expense,"4,486,255","4,792,765"
