Kshs'000,Kshs'000,Kshs'000,Kshs'000
53.68%,49%,1% - 1.8%,
"1,245,701","8,742,003","5,012,040",
"5,547,314","2,218,858","4,677,385",
"70,717","(11,371,058)","(1,647,246)",
"(3,374,715)","(4,301,148)","(5,000,381)",
"3,489,017","(4,711,345)","3,041,798",
"1,872,904","(2,308,559)","19,486","(416,169)"
"12,768,274","7,167,143","11,255,021",
"2,497,519","(1,462,458)","(728,948)",
"2,497,519","(1,462,458)","(728,948)",
"1,340,668","(716,604)","(3,958)","620,106"
"2,161,067","(845,883)","(1,697,270)",
"(765,442)","(508,669)","(908,230)",
"(1,276,391)","1,786,694","165,063",
"119,234","432,142","(2,440,437)",
