Column,Year ended 30 June
,2021
Note,Kshs ‘000
6(b),"1,743,771"
7(b),-
,"1,743,771"
8(b),"(1,568,599)"
9(b),"1,125,440"
,"2,529,344"
12(b),"3,210,164"
12(b),"(4,445,165)"
10,"2,594,955"
13(b),"367,667"
,"2,962,622"
,"2,962,622"
,-
,"2,962,622"
