Consumer Price Infation,Column
Region / Country,2011
Percentage,
"World
US
Eurozone
UK
Japan","3 .1
1 .7
2 .8
3 .3
1 .3"
"Emerging markets and
developing countries",6 .0
"Developing Asia
China
India","4 .2
6 .3
6 .9"
East Africa,9 .2
"Sub-Saharan Africa
South Africa3","7 .9
4 .9"
