Column,F12,F13,F14,F15,F16,target
energy (mj/l),2.2,2.2,2.19,2.17,1.73,1.38
GHG (g/l),189,128,126,123,94,"Reduce by
50%"
Water (l/l),5.98,6.7,5.93,5.82,5.03,4.35
"Waste Landfill
(g/l)",5.63,4.67,2.44,1.56,1.20,0
Bod (g/l),0.92,2.73,0.51,0.15,0.05,"Reduce by
50%"
