Board of Directors,Column,Column,Column
"Dr. M. Oduor-Otieno* – Group Chairman
Mr. J. O’Keeffe ** - Group Vice Chairman
Mr. A. Cowan*** (Former Group Managing Director) – Resigned as GMD and CEO on 31 December 2020 and as a Director on 1 March 2021
Mrs. J. Karuku*** (Group Managing Director and CEO) – Appointed GMD and CEO on 1 January 2021
Mr. J. Katto*
Ms. C. Musyoka*
Mr. J. Mugerwa*
Mr. J Ulanga *
Mr. L. Breen**
Ms. Risper Ohaga***
Ms. Ory Okolloh* – Appointed on 16 October 2020
Mr. Dayalan Nayager ** - Appointed on 1 March 2021
Company Secretary
Ms. Kathryne Maundu
*Independent Non-Executive Director
** Non-Executive Director
*** Executive Directors",,,
"Board Corporate Governance
Committee","The Board Audit and Risk
Management Committee","Board Nominations & Remu-
neration Committee","Board Investment Committee
– Ad Hoc Committee"
"Mr. J. Katto – Chairman
Ms. C. Musyoka
Mr. J. Ulanga
Ms. K. Maundu (Secretary)","Mr. J. Ulanga – Chairman
Mr. J. Katto
Mr. J. Mugerwa
Mr. L. Breen
Ms. O. Okolloh
Ms. K. Maundu (Secretary)","Ms. C. Musyoka - Chairperson
Dr. M. Oduor-Otieno
Mr. J Mugerwa
Mr. J. O’Keeffe
Ms. K. Maundu (Secretary)","Ms. C. Musyoka - Chairperson
Mr. J. Katto
Ms. R. Ohaga
Ms. O. Okolloh
Ms. K. Maundu (Secretary)"
