Kshs'000,Kshs'000,Kshs'000,Kshs'000
53.68%,49%,1% - 1.8%,
"741,096","9,834,078","4,643,698",
"4,667,958","2,376,767","3,948,551",
-,"(11,996,223)","(907,211)",
"(3,141,165)","(3,461,443)","(5,506,760)",
"2,267,889","(3,246,821)","2,178,278",-
"1,217,403","(1,590,942)","35,787","(337,752)"
"10,179,357","6,903,679","14,420,767",
"2,506,340","(1,564,463)","1,155,139",
"2,506,340","(1,025,019)","15,575,906",-
"1,103,843","(502,259)","20,969","622,553"
"1,592,877","(918,612)","624,375",
"(174,665)","(502,033)","(30,385)",
"(1,507,277)","1,462,267",-,
"(89,065)","41,622","593,990",-
