Year ended 30 June,Column
Note,2021
,Kshs ‘000
6(a),"85,961,815"
7(a),"(48,548,122)"
,"37,413,693"
,"(7,362,119)"
8(a),"(9,320,113)"
9(a),"(5,924,689)"
12(a),"91,242"
12(a),"(4,039,981)"
10,"10,858,033"
13(a),"(3,896,093)"
,"6,961,940"
,"4,354,228"
18(a),"2,607,712"
,"6,961,940"
15,5.51
