Note,As at 30th June,Column
,"2022
Kshs ‘000","2021
Kshs ‘000"
16,"1,581,547","1,581,547"
16,"1,691,151","1,691,151"
17,"(1,470,272)","(2,606,773)"
,"8,678,086","5,519,268"
14,"5,733,114",-
,"16,213,626","6,185,193"
18,"10,200,169","8,667,237"
,"26,413,795","14,852,430"
19,"6,012,663","6,239,320"
29,"35,161,874","38,260,591"
30,"999,918","1,062,360"
,"42,174,455","45,562,271"
,"68,588,250","60,414,701"
20,"68,585,463","59,747,234"
21,"1,333,003","1,451,980"
22,"714,850","624,952"
23,"3,062,522","2,860,728"
23,"527,119","485,008"
25,"10,000","10,000"
19,"782,850","844,578"
,"75,015,807","66,024,480"
26,"13,272,250","11,688,157"
27,"11,792,541","13,022,880"
,"404,326","3,769,587"
33,"9,941,746","5,611,910"
,"35,410,863","34,092,534"
28,"32,209,869","30,543,718"
14,"683,601","673,463"
29,"6,633,690","6,900,000"
30,"436,485","394,243"
33,"1,874,775","1,190,889"
,"41,838,420","39,702,313"
,"(6,427,557)","(5,609,779)"
,"68,588,250","60,414,701"
