"ytiuqe
latoT",Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
gnillortnoc-noN stseretni,"000‘
shsK","273,015,7","834,439,2","559,621","393,160,3",-,")469,744(",-,-,")240,928(",")434,226,1(",")044,998,2(","523,276,7"
latoT,"000‘
shsK","973,446,8","774,680,4","397,035","072,716,4",")741,803(","469,744","621,22","023,41",")323,273,2(",")646,447,4(",")607,049,6(","349,023,6"
deniateR sgninrae,"000‘
shsK","742,067,8","774,680,4",-,"774,680,4",")741,803(","469,744",-,-,")323,273,2(",")646,447,4(",")251,779,6(","275,968,5"
rehtO sevreser,"000‘
shsK",")665,883,3(",-,"397,035","397,035",-,-,"621,22","023,41",-,-,"644,63",")723,128,2("
"muimerp
erahS","000‘
shsK","151,196,1",-,-,-,-,-,-,-,-,-,-,"151,196,1"
"latipac
erahS","000‘
shsK","745,185,1",-,-,-,-,-,-,-,-,-,-,"745,185,1"
"0202
enuJ
03
dedne
raeY",,,,,,,,,,,,,
