Column,22.07.2019,15.10.2019,27.01.2020,21.04.2020,23.06.2020
John Ulanga,-,X,X,X,X
Japheth Katto,X,X,X,X,X
Jimmy Mugerwa,X,X,X,X,X
Leo Breen,-,-,-,X,X
Martin Oduor-Otieno 1,X,X,-,-,-
