Column,"Total
Kshs’000
14,318,205
3,971,354
-"
,"3,971,354"
,"(4,467,873)
(1,976,936)"
,"(6,444,809)"
,"11,844,750"
,"11,844,750
5,672,175
-"
,"5,672,175"
,"(4,388,798)
(1,976,936)
-"
,"(6,365,734)"
"d of year 1,581,547 1,691,151 109,693 2,826,460 4,942,340","11,151,191"
