Column,Year ended 30 June,Column
Notes,"2025
Kshs’000","2024
Kshs’000"
,"19,311,353",
,"(142,545)",
,"5,785,846",
,"216,123",
,"7,220,321",
,"801,608",
,"142,818",
,"23,962",
,"253,476",
,"33,612,962",
,"(3,744,373)",
,"(3,148,309)",
,"8,930,868",
,"35,651,148",
,"142,545",
,"(5,785,846)",
,"(216,123)",
,"(6,025,059)",
,"23,766,665",
,"(6,440,578)",
,"(39,001)",
,"(6,479,579)",
