"16,592,335
(5,105,206)"
"11,487,129
239,813
(1,036,518)
(4,674,013)"
"6,016,411
173,822
851,664"
"7,041,897
-"
"7,041,897
(2,293,984)"
"4,747,913
(898,855)"
"3,849,058"
KShs 35.21
KShs 35.05
