At 30 June 2018:,Current,"Less than 1
year","Between 1
and 2 years","Between 2
and 5 years",Over 5 years,Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,
,-,-,"5,000,000","6,000,000","7,868,462",
,-,-,-,-,"11,469,236",
,"71,946",-,-,-,-,
,-,"7,175",-,-,-,
,"16,926,026","2,687,595",-,-,-,
,"562,611",-,-,-,-,
,"21,429,043","2,694,770","5,000,000","6,000,000","19,337,698",
