Column,At 30 June
Note,2020
,Kshs ‘000
16,"1,581,547"
16,"1,691,151"
17,"(2,821,327)"
,"5,869,572"
,"6,320,943"
18,"7,672,325"
,"13,993,268"
19(a),"5,568,697"
31(a),"36,900,000"
32(a),"1,151,841"
,"43,620,538"
,"57,613,806"
20(a),"56,734,910"
21(a),"1,577,415"
22(a),-
23(a),"602,036"
24(a),"2,831,130"
24(b),"481,219"
26,"10,000"
19(a),"453,277"
,"62,689,987"
27(a),"10,916,370"
28(a),"5,681,444"
,"3,708,970"
29,-
35(b),"5,661,635"
,"25,968,419"
30(a),"21,731,083"
,"815,661"
31(a),"4,106,253"
32(a),"459,265"
35(b),"3,932,338"
,"31,044,600"
,"(5,076,181)"
,"57,613,806"
