Column,At 30 June
,2021
Note,Kshs ‘000
16,"1,581,547"
16,"1,691,151"
17(a),"(2,606,773)"
,"5,519,268"
,"6,185,193"
18,"8,667,237"
,"14,852,430"
19(a),"6,239,320"
30(a),"38,260,591"
31(a),"1,062,360"
,"45,562,271"
,"60,414,701"
20(a),"59,747,234"
21(a),"1,451,980"
23(a),"624,952"
24(a),"2,860,728"
24(b),"485,008"
26,"10,000"
19(a),"844,578"
,"66,024,480"
27(a),"11,688,157"
28(a),"13,022,880"
,"3,769,587"
34(b),"5,611,910"
,"34,092,534"
29(a),"30,543,718"
14,"673,463"
30(a),"6,900,000"
31(a),"394,243"
30(a),"1,190,889"
,"39,702,313"
,"(5,609,779)"
,"60,414,701"
