Group,2018,2017
,Kshs'000,Kshs'000
Raw materials and consumables,"4,835,788","5,096,867"
Work in progress,"721,933","483,618"
Finished goods,"1,930,324","1,672,653"
Goods in transit,"394,561","219,956"
,"7,882,606","7,473,094"
