Column,29.07.2021,14.09.2021,"15.09.2021
(AGM)","22.09.2021
(Sp. Board)",9.11.2021,"7-8.12.2021
(Strategy
session)",27.01.2022,17.05.2022
"Dr. Martin
Oduor-Otieno",√,√,√,√,√,√,√,√
"Ms. Carol
Musyoka",√,√,√,√,√,√,√,√
Ms. Jane Karuku,√,√,√,√,√,√,√,√
"Mr. John
O’Keeffe*",√,√,√,√,√,"Absent with
apology",√,√
Mr. Leo Breen,√,√,√,√,√,"Absent with
apology",√,√
Mr. John Ulanga,√,√,√,√,√,√,√,√
"Mr. Japheth
Katto",√,√,√,√,√,√,√,√
"Mr. Jimmy
Mugerwa",√,√,√,√,√,√,√,√
"Ms. Risper
Ohaga",√,√,√,√,√,√,√,√
Ms. Ory Okolloh,√,√,√,√,√,√,√,√
"Mr. Dayalan
Nayager",√,√,√,√,√,√,√,√
