"Freehold
property","Leasehold
buildings",Equipment,"Capital
work in
progress",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
"132,228","41,490","318,158","104,146",
-,-,"9,132","62,527",
-,"25,577","3,427","(29,004)",
-,-,-,"(1,858)",
-,"(34,940)",-,-,
"132,228","32,127","330,717","135,811",
"3,647","15,213","192,738",-,
-,"(10,496)",-,-,
711,"1,240","45,442",-,
"4,358","5,957","238,180",-,
"127,870","26,170","92,537","135,811",
