Column,27.07.2020,14.10.2020,25.01.2021,20.04.2021,23.06.2021
John Ulanga,√,√,√,√,√
Japheth Katto,√,√,√,√,√
Jimmy Mugerwa,√,√,√,√,√
Leo Breen,√,√,√,√,√
Ory Okolloh1,-,-,√,√,√
