Note,"2022
Kshs '000","2021
Kshs '000"
"1
2","109,409,027
(56,553,029)","85,961,815
(48,548,122)"
"3
4
5
5","52,855,998
(9,733,709)
(10,841,540)
(4,028,499)
184,528
(4,420,520)","37,413,693
(7,362,119)
(9,320,113)
(5,924,689)
91,242
(4,039,981)"
"6
8","24,016,258
(8,441,859)","10,858,033
(3,896,093)"
,"15,574,399","6,961,940"
,"11,857,336
3,717,063","4,354,228
2,607,712"
,"15,574,399","6,961,940"
,15.00,5.51
,"34,135,644
31.2%
28,252,250
25.8%","20,100,216
23.4%
14,806,772
17.2%"
