"At start of
year","Shares/
options
awarded","Shares/
options
exercised",At end of year
"40,377","12,273","(15,087)",
"40,683","6,901","(2,116)",
"11,541","1,069","(4,781)",
-,"1,328",-,
"92,601","21,571","(21,984)",
"76,111","12,745","(48,479)",
"28,572","15,596","(3,485)",
"10,965","3,831","(3,255)",
"115,648","32,172","(55,219)",
