Column,At 30 June
,2020
Note,Kshs ‘000
16,"1,581,547"
16,"1,691,151"
17,"48,310"
,"16,578,125"
,"19,899,133"
31(b),"36,900,000"
32(b),"10,986"
,"36,910,986"
,"56,810,119"
20(b),"480,265"
21(b),"26,458"
23(b),"122,344"
25,"40,620,200"
26,"10,000"
36(b),"27,894,760"
19(b),"442,533"
,"69,596,560"
28(b),"2,096,784"
,"1,812,745"
29,-
35(b),"3,616,403"
,"7,525,932"
30(b),"12,674,504"
,"815,661"
35(b),"2,804,807"
31(b),"4,000,000"
32(b),"17,401"
,"20,312,373"
,"(12,786,441)"
,"56,810,119"
