Year ended 30 June 2023,At 1 July 2022,"Prior year
(over)/under
provision","Charged/
(credited) to
profit or loss","Effects of
Exchange
rate changes","At 30 June
2023"
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"8,419,388","(13,413)","1,040,534","732,369","10,178,878"
,"441,578",—,"173,171","30,534","645,283"
,"177,558","(82,346)","(48,298)","5,669","52,583"
,"9,038,524","(95,759)","1,165,407","768,572","10,876,744"
,"338,380",—,"(192,276)","(25,524)","120,580"
,"(477,921)",—,"(176,566)","(4,732)","(659,219)"
,"(139,913)","(1,605)","(11,747)",—,"(153,265)"
,"(3,529,257)",—,"1,112,866","(105,836)","(2,522,227)"
,"(3,808,711)","(1,605)","732,277","(136,092)","(3,214,131)"
,"5,229,813","(97,364)","1,897,684","632,480","7,662,613"
