Kshs’000,Kshs’000
"6,805,013","7,785,567"
"30,892","55,656"
"91,465","62,560"
"1,726,406","1,208,857"
"8,653,776","9,112,640"
-,
-,-
-,-
"8,653,776","9,112,640"
