Year ended 30 June 2021,Column,Column,Column,Column
Mr. Andrew Cowan,"37,563","13,731","(12,797)","38,497"
Ms. Jane Karuku,"45,468","13,198","(8,365)","50,301"
Ms. Risper Ohaga,"1,328","5,811",-,"7,139"
Total,"84,359","32,740","(21,162)","95,937"
