"7,434,669","10,432,830","76,917,531","24,465,429","7,780,245","127,030,704"
"463,530","196,899","2,142,953","2,365,627","2,066,558","7,235,567"
"743,925","512,584","6,452,671","118,707","(7,827,887)",—
—,—,"3,495",—,"(89,951)","(86,456)"
"(15,234)",—,"(421,963)","(1,595,871)","(1,069)","(2,034,137)"
"(8,447)","(1,055,881)","(5,224,069)","(1,784,223)","71,879","(8,000,741)"
"8,618,443","10,086,432","79,870,618","23,569,669","1,999,775","124,144,937"
"2,022,024","1,783,999","32,196,574","9,551,287",—,"45,553,884"
"289,423","209,477","3,941,473","2,713,331",—,"7,153,704"
"(11,812)",—,"(385,929)","(1,537,641)",—,"(1,935,382)"
"(5,729)","(229,410)","(1,830,263)","(496,957)",—,"(2,562,359)"
"2,293,906","1,764,066","33,921,855","10,230,020",—,"48,209,847"
"6,324,537","8,322,366","45,948,763","13,339,649","1,999,775","75,935,090"
