At 30 June,Column,Column
Notes,2020,2019
,Kshs ‘000,
35(a),"13,636,327",
12(a),"164,873",
,"(3,865,182)",
32(a),"(104,349)",
,"(6,484,820)",
,"3,346,849",
20(a),"(7,952,915)",
23(a),"(163,187)",
18(b),"(308,147)",
,"93,992",
,"(8,330,257)",
32(a),"(473,709)",
14,"(7,131,156)",
,"(2,451,476)",
31(a),"23,400,000",
31(a),"(18,716,209)",
17,"14,320",
,"(5,358,230)",
,"(10,341,638)",
,"12,468,585",
,"(397,650)",
,"(10,341,638)",
35(b),"1,729,297",
