Column,"Total
Kshs’000
19,101,817
2,064,441"
,"21,166,258
(235,351)
3,484,809
-
(84,461)"
,"24,331,255"
,"6,607,777
803,089"
,"7,410,866"
"- -
82,307 -","(84,750)
1,609,534"
,"(1,145)"
,"8,934,505"
,"15,396,750"
