At 30 June 2023,"UDV
(Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries*",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,53.68%,7.50%,1% - 1.8%,
,"3,120,600","23,396,147","20,527,511",
,"19,851,319","6,371,053","8,663,129",
,"(1,249,828)","(8,620,288)","(9,661,717)",
,"(4,565,717)","(8,582,885)","(9,517,887)",
,"17,156,374","12,564,027","10,011,036",
,"9,209,542","942,302","180,198","10,332,042"
,"27,690,815","15,923,243","23,182,277",
,"4,535,155","(145,283)","2,332,823",
,"4,535,155","(145,283)","2,332,823",
,"2,434,471","(10,896)","41,991","2,465,566"
,"8,266,063","2,755,523","5,713,215",
,"(627,923)","(5,809,420)","(3,061,666)",
,"(4,521,853)","3,403,967","491,819",
,"3,116,287","350,070","3,143,368",
