Company,Column,Profit or loss
,,2019
,,Kshs’000
,Euro,"385,627"
,Pound Sterling,"56,990"
,South Sudanese Pound,-
,Tanzanian Shilling (TZS),883
,Ugandan Shilling,"92,487"
,US Dollar,"40,295"
,,"576,282"
