Column,Year ended 30 June,Column
Note,2020,2019
,Kshs ‘000,
6(b),"15,576,459",
7(b),-,
,"15,576,459",
8(b),"(1,493,509)",
9(b),"(942,523)",
12(b),"3,101,187",
12(b),"(5,560,487)",
10,"10,681,127",
13(b),"(620,194)",
,"10,060,933",
,-,
,"10,060,933",
