"At 1st July,
2020","Impact of
change in
tax rate","Prior year
(over)/under
provision","Charged/
(credited) to
profit or loss","Effects of
exchange
rate changes","At 30th June,
2021"
Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"7,321,742","944,781","107,561","(60,081)","130,827","8,444,830"
"450,278","49,400","1,401","(48,886)","8,851","461,044"
"167,881",111,-,"34,345","1,593","203,930"
"7,939,901","994,292","108,962","(74,622)","141,271","9,109,804"
"(274,782)",-,-,-,"(1,670)","(276,452)"
"334,327","(24,031)","17,511","82,201","(1,561)","408,447"
"(459,088)","(51,541)","(9,251)","29,988",(62),"(489,954)"
"(1,255,297)","(14,980)","10,850","146,760","(4,780)","(1,117,447)"
-,-,-,"(515,098)",-,"(515,098)"
"(1,169,641)","(232,917)","(53,928)","(234,865)","(33,207)","(1,724,558)"
"(2,824,481)","(323,469)","(34,818)","(491,014)","(41,280)","(3,715,062)"
"5,115,420","670,823","74,144","(565,636)","99,991","5,394,742"
