Column,Year ended 30 June
,2019
Note,Kshs ‘000
6(b),"11,614,838"
7(b),"(1,802,474)"
,"9,812,364"
8(b),"(1,668,781)"
9(b),"1,897,238"
12(b),"2,070,883"
12(b),"(4,702,021)"
10,"7,409,683"
13(b),"(443,884)"
,"6,965,799"
,-
,"6,965,799"
