Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
"7,401,279","2,249,428","9,650,707","8,912,664","39,688","8,952,352"
"790,774,356","790,774,356","790,774,356","790,774,356","790,774,356","790,774,356"
9.36,2.84,12.20,11.27,0.05,11.32
