Kshs '000,Kshs '000
"27,934,402","21,196,607"
"280,738",-
"(3,545,979)","(4,074,380)"
"(6,091,926)","(3,563,087)"
"18,577,235","13,559,140"
"(4,870,101)","(4,944,285)"
"(147,435)",-
-,"195,000"
"208,000","65,590"
"3,479,592",-
"(1,329,944)","(4,683,695)"
"(9,625,960)","(4,534,570)"
"(695,045)","(821,781)"
"4,994,446","5,000,000"
"(12,898,623)","(10,427,322)"
"(18,225,182)","(10,783,673)"
"(977,891)","(1,908,228)"
"(1,391,898)","(657,025)"
"(1,584,301)","1,173,355"
"(977,891)","(1,908,228)"
"(3,954,090)","(1,391,898)"
