TTGGRR//WWAACCCC,1122..6666%%,1133..6666%%,1144..6666%%
4.00%,"2,825","(7,831)","(16,484)"
5.00%,"13,011",—,"(10,314)"
6.00%,"26,256","9,875","(2,720)"
