"UDV
(Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries",Total
Kshs’000,Kshs’000,Kshs’000,Kshs’000
53.68%,7.5%,1% - 1.8%,
"2,920,782","15,391,506","15,185,074",
"21,096,242","5,244,495","5,462,811",
"(1,112,959)","(3,502,825)","(7,255,879)",
"(5,782,848)","(5,184,873)","(7,093,177)",
"17,121,217","11,948,303","6,298,829",
"9,190,669","896,123","113,377","10,200,169"
"27,219,346","15,792,969","19,858,093",
"6,593,325","1,713,962","2,734,354",
"6,593,325","1,713,962","2,734,354",
"3,539,297","128,547","49,219","3,717,063"
"6,529,444","2,976,242","5,065,389",
"(695,530)","(4,305,952)","(4,628,653)",
"(4,021,022)","962,008","2,157,466",
"1,812,892","(367,702)","2,594,202",
