"Freehold
property","Leasehold
buildings","Plant &
equipment","Returnable
packaging","Capital work
in progress",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
"5,084,598","5,743,341","50,931,269","14,739,259","7,333,880",
"260,025","54,678","2,174,799","1,525,250","3,938,163",
"750,333","395,838","2,592,323","69,677","(3,808,171)",
"(22,745)","(2,007)","(829,611)",-,-,
-,-,-,-,"(22,237)",
-,"(62,068)",-,-,-,
-,-,-,"(2,480,113)",-,
"2,406","111,803","592,835","145,210","106,674",
"6,074,617","6,241,585","55,461,615","13,999,283","7,548,309",
"1,178,448","1,014,083","20,974,790","7,627,215",-,
"167,141","78,663","2,523,459","1,495,799",-,
"(7,548)","(2,007)","(682,426)",-,-,
-,"(26,885)",-,-,-,
-,-,-,"(2,098,582)",-,
"1,568","26,687","241,970","78,124",-,
"1,339,609","1,090,541","23,057,793","7,102,556",-,
"4,735,008","5,151,044","32,403,822","6,896,727","7,548,309",
