Year ended 30th June,Column
2022,2021
Kshs ‘000,Kshs ‘000
"15,574,399","6,961,940"
"1,272,387","209,841"
"16,846,786","7,171,781"
"13,086,750","4,549,415"
"3,760,036","2,622,366"
"16,846,786","7,171,781"
