In Kshs Millions,"Dec
2004","June
2004","Change
%"
Fixed and other non current assets,"9,767","9,774",(0%)
"Stocks
Debtors
Other
Cash and term deposits","3,062
1,648
171
7,495","3,491
1,766
518
5,223",43%
Current assets,"12,376","10,998",12%
TOTAL ASSETS,"22,143","20,772",
Shareholder funds,"14,286","13,545",5%
Minority interest,"1,809","1,714",5%
Non current liabilities,"1,424","1,606",(11%)
Current liabilities,"4,624","3,907",18%
TOTAL EQUITY AND LIABILITIES,"22,143","20,772",
