"UDV (Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries",Total
Kshs’000,Kshs’000,Kshs’000,
53.68%,27.5%,1% - 1.8%,
"2,230,063","8,550,389","5,458,464",
"9,226,109","3,280,227","3,681,980",
"(340,000)",-,"(4,025,699)",
"(4,463,747)","(3,166,775)","(4,833,729)",
"6,652,425","8,663,841","281,016",
"3,571,022","2,380,824","19,245",
"15,637,384","8,189,944","11,919,899",
"2,857,183","112,314","2,592",
"2,857,183","112,314","2,592",
"1,533,736","30,864","7,191",
"3,509,850","1,512,898","2,275,094",
"(525,874)","(815,600)","(1,287,210)",
"(1,570,079)","(199,500)","(24,451)",
"1,413,897","497,798","963,433",
