TARGET,KEY PERFORMANCE INDICATOR,NOTES ON OUR PROGRESS
CHAMPION INCLUSION AND DIVERSITY,,
"Champion gender diversity with
an ambition to achieve 50%
representation of women in
leadership roles by 2030.
SDG alignment: 5.5; 8.1; 10.2;
10.4","Percentage of female senior
leadership
36%","Whilst this is a global target, we have seen great improvements
across EABL. In Tanzania, we have achieved a 26% number of
women employees up from 17% in 2021. This has included an
All-Women team to run the end-to end operations of our new
spirits production facility at our Moshi brewery. Similarly, one
of our production lines in Uganda is managed by a team made
up of 75% women. We also credit our STEM apprenticeship
programme as a key contributor in ensuring that more
opportunities are afforded to women who have the technical
skills."
"Increase the percentage of
diverse suppliers across our
value chain:
10% by 2025 and 15% by 2030
SDG alignment: 5.5; 5B; 10.2; 10.4","Spend with diverse suppliers as
percentage of total influenceable
spend
N/A","We are designing the frameworks to be able to report on
market level performance, as our target and outlook are set for
2025. But it is worth noting the work we are doing with people
with disabilities, (PWDs), to ensure that they have opportunities
to contribute to our supply chain as well as work directly in our
operations. SBL launched a three-pillar strategy to promote
inclusion of PWDs as an employer, advocate and partner. SBL
now has six employees with disabilities with the goal to get to
4% representation in its labour force. KBL has onboarded a total
of 71 farmers with disabilities as part of our contractual farming
programme, with the goal to get to 3% representation in our
supply chain. Additionally, UBL has developed an inclusive
internship programme to recruit PWDs. The programme has so
far introduced ten interns with disabilities for 6-month tenure."
"Provide business and hospitality
skills to 3,220 people, increasing
employability and improving
livelihoods.
SDG alignment: 4.4; 8.1; 8.6; 10.2;
17.16","People reached via business and
hospitality skills programmes
5,327","We accomplished 165% of our target to reach 3,220 people
through our business and hospitality skills training in 2022.
This can be attributed to the transformative work being
done through Learning for Life (L4L). KBL focused L4L on
farmers, providing an in-depth life skills curriculum that
included training on budgeting, time management and
responsible drinking. Further SBL implements the Kilimo
Viwanda scholarship, an award-winning programme that
aims to provide support to needy students from agricultural
communities across Tanzania. This year, 102 students (50%
of which represented vulnerable groups: women and PWDs)
were awarded scholarships to pursue diploma level agricultural
courses in local colleges."
"Through the Diageo Bar
Academy, we will deliver
1.5 million training sessions
providing skills and resources to
help build a thriving hospitality
sector that works for all.
SDG alignment: 4.4; 8.1; 8.6; 10.2;
17.16","Training sessions delivered through
the Diageo Bar Academy
N/A","While Covid 19 dealt a tremendous blow to the hospitality
sector, the Diageo Bar Academy is aiming to rebuild the sector
back better. We are designing a framework to report on our
progress at a market level. KBL has currently trained 9,800
workers across Kenya in the Academy, thirty-one of whom are
PWDs."
"Ensure 50% of beneficiaries from
our community programmes
are women.
SDG alignment: 5.5; 5A","Percentage of community
programme beneficiaries who are
women
63%","We are proud to prioritise women’s engagement in all our
community programmes. To this effect, we are already
surpassing our 2030 target to ensure 50% representation. This is
also an increase in representation by 9% from 2021 (54%)."
