detadilosnoC,9102,"000‘
shsK",Column,Column,Column,Column,Column
,0202,"000‘
shsK","789,986,26","664,856,88","731,566,47","201,611,8","966,589,4"
snoitanimilE,,,,,,,
,9102,"000‘
shsK",")298,886,83(",")169,915,14(",")064,524,6(",-,-
,0202,"000‘
shsK",")623,086,93(",")489,650,24(",")777,957,4(",-,-
ainaznaT,9102,"000‘
shsK","612,658,8","296,085,21","859,708,3","873,094,1","606,108"
,0202,"000‘
shsK","749,888,9","285,942,41","281,522,5","209,795,1","097,787"
adnagU,,,,,,,
,9102,"000‘
shsK","642,552,7","364,118,11","812,886,8","115,121,2","797,925"
,0202,"000‘
shsK","341,381,9","222,356,21","592,479,8","905,229,1","869,648"
ayneK,9102,"000‘
shsK","676,040,08","334,391,401","061,048,46","986,651,8","829,575,2"
,0202,"000‘
shsK","222,892,38","646,218,301","734,522,56","196,595,4","119,053,3"
