Column,"Total
Kshs’000
291,832
(28,213)
11,433"
,"275,052"
,"104,879
20,983"
,"125,862"
,"149,190"
,"401,763
(123,760)"
"2,590","13,829"
"28,213","291,832"
,"86,755
18,124"
,"104,879"
,"186,953"
