Net Revenue,"Kshs 32.5 bn
Growth 26%"
PBT,"Kshs 12.3 bn
Growth 16%"
Freecashflow,"Kshs 9.3 bn
Growth 9%"
ROIC,"Rate 51%
Growth 10%"
EPS,"Kshs 9.55
Growth 23%"
DPS,"Kshs 8.05
Growth 10%"
