Column,Year ended 30th June,Column
Notes,2022,2021
,Kshs ‘000,Kshs ‘000
33,"35,330,087","21,523,733"
12,"184,528","91,242"
,"(4,137,835)","(3,141,386)"
30,"(95,211)","(89,530)"
,"(5,375,866)","(3,772,288)"
,"25,905,703","14,611,771"
20,"(13,007,210)","(7,744,506)"
22,"(186,788)","(182,354)"
24,-,"(6,271,376)"
22,"21,739",-
,"(13,172,259)","(14,198,236)"
30,"(642,942)","(482,774)"
14,"(2,879,245)",-
,"(2,269,910)","(60,610)"
,"(76,022)","(140,396)"
29,"19,519,110","23,552,160"
29,"(22,925,667)","(19,398,508)"
17,"(123,298)","(5,799)"
,"(9,397,974)","3,464,073"
,"3,335,470","3,877,608"
,"4,421,021","1,729,297"
,"310,480","(1,185,884)"
,"3,335,470","3,877,608"
33,"8,066,971","4,421,021"
