Column,2017 series,2016 series,2015 series
Grant date share price,250,277,274
Exercise price,,,
-ESOP,250,277,100
-ESSS,196,224,-
Expected volatility,13.1%,13.1%,13.1%
Dividend yield,3%,3%,3%
Forfeiture rate,3%,3%,3%
Option life,5 years,5 years,5 years
