Significant matters considered,Actions and conclusions
"Judgment applied regarding the impairment of goodwill for Serengeti
Breweries Limited (SBL)
The Company carries goodwill of Kshs 2.2 billion in the consolidated
financial statements that arose from the acquisition of SBL. The goodwill
is reviewed for impairment annually. The impairment review is based
on SBL’s growth projections which are premised on its robust business
strategy around driving volumes in order to maximize capacity utilization
through its premium and innovation brands. Management carried
out a detailed impairment review of the goodwill and based on the
results, there were no impairment losses to be recognised. The business
continues to be in a positive growth trajectory.","The Committee reviewed the annual impairment testing performed
by Management, taking into account the underlying key assumptions
supporting the future cash flows in the context of the business operating
plan and strategy. The Committee was satisfied that the analysis
performed by Management and the related disclosure in the financial
statements were appropriate."
"Judgement applied regarding the impairment of investment in SBL
The Company carries an amount of Kshs 16 billion in the Company’s
financial statements that relates to its equity investment in SBL.
Management carried out a detailed impairment review of the equity
investment and based on the results, there were no impairment losses
to be recognised.","The Committee reviewed the impairment testing performed by
Management, taking into account the underlying key assumptions
supporting the future cash flows in the context of the business operating
plan and strategy. It also considered the views from Group’s external
auditors on the valuation methodology applied, their assessment of
the reasonableness of the key assumptions and sensitivities to changes
in these assumptions. The Committee was satisfied that the analysis
performed by Management and the related disclosures in the financial
statements were appropriate."
"Adoption of IFRS 16 ‘Leases’
The Group adopted IFRS 16 with effect from 1st July 2019. IFRS introduces
significant changes to lessee accounting by removing the distinction
between operating and finance lease and requiring the recognition of
a right-of-use asset and a lease liability on the statement of financial
position, except for short-term leases and leases of low value assets when
such recognition exemptions are adopted. The Group mainly leases
motor vehicles and space for corporate offices. The Management has
implemented systems and processes required for compliance with IFRS
16.","The Committee continuously received ongoing updates from
Management on the implementation of IFRS 16. The key areas of focus by
the Committee were financial controls and processes implemented for
reporting and the accounting policies and related disclosures adopted
with adoption of IFRS 16. The Committee was satisfied that these were
satisfactorily implemented."
"Judgment relating to uncertain tax matters
The Group operates in several tax jurisdictions and is subject to a number
of tax claims incidental to these operations and where interpretation
of various tax regulations and applications thereof is required. In this
case, Management is required to apply judgment in assessing the tax
exposures.","The Committee reviewed tax reports from Management and requested
opinions from independent specialists where considered appropriate.
The Committee considered Management’s assessment of possible,
probable and remote exposures and the related provisions and disclosure
in light of the latest developments on these matters and considered
them to be reasonable."
"Covid-19 pandemic reporting considerations
Covid-19 pandemic has had a range of implications on risk management
and financial reporting during the period. The key considerations are
summarised below:
• Significant financial reporting judgements with respect to the
carrying amounts of assets – Management factored in the impact
of Covid-19 into certain financial reporting judgements, more
particularly on inventory, receivables and other assets subject to
impairment testing.
• Going concern considerations – Management continuously
performed financial risks assessment including but not limited to
scrutiny of forecast liquidity, balance sheet stress tests, and the
availability of cash and cash equivalents through new or existing
financing facilities and were satisfied that the business was still
viable as a going concern.","The Committee reviewed Management’s judgments in determining the
carrying value of the different categories of assets and were satisfied
that the judgements applied by Management were satisfactory.
In addition, the Committee reviewed and challenged Management on its
financial risk assessment and financial risk management and were satisfied
with the financial risk management processes adopted by Management."
