Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000
"5,573,753",-,"564,105","(229,188)","(399,076)","5,509,594"
"168,901",-,-,-,-,"168,901"
"53,848",-,"(124,807)","5,356",-,"(65,603)"
"5,796,502",-,"439,298","(223,832)","(399,076)","5,612,892"
-,-,"(200,869)","12,428","2,439","(186,002)"
"(184,389)",-,"(67,990)","7,876","13,583","(230,920)"
"(2,810,183)",-,"(173,890)","118,020","320,298","(2,545,755)"
"(2,994,572)",-,"(442,749)","138,324","336,320","(2,962,677)"
"2,801,930",-,"(3,451)","(85,508)","(62,756)","2,650,215"
