Column,At 30 June
Notes,2021
,Kshs ‘000
34(a),"7,296,773"
12(b),"2,725,585"
,"(4,583,068)"
31(b),"(2,667)"
,"(519,229)"
,"4,917,394"
20(b),"(70,716)"
23(b),"(108,770)"
25,"(6,271,376)"
20(b),"44,712"
,"101,733"
,"(3,141,357)"
,"2,529,344"
,"(6,916,430)"
31(b),"(19,146)"
14,-
,"(140,396)"
30(b),"22,400,000"
30(b),"(19,291,667)"
,"2,948,791"
,"949,755"
,"811,596"
,"949,755"
35(b),"1,761,351"
