At start of year,"Shares/options
awarded","Shares/options
exercised",At end of year
"37,563","13,731","(12,797)",
"45,468","13,198","(8,365)",
"1,328","5,811",-,
"84,359","32,740","(21,162)",
"40,377","12,273","(15,087)",
"40,683","6,901","(2,116)",
"11,541","1,069","(4,781)",
-,"1,328",-,
"92,601","21,571","(21,984)",
