Year ended 30 June 2023,"Share
capital","Share
Premium","Share based
payment
reserve","Proposed
dividends","Retained
earnings",Total equity
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
,"1,581,547","1,691,151","103,861","5,733,114","16,720,614","25,830,287"
,—,—,—,—,"11,369,645","11,369,645"
,—,—,"28,057",—,—,"28,057"
,—,—,—,—,"(2,965,404)","(2,965,404)"
,—,—,—,"(5,733,114)",—,"(5,733,114)"
,—,—,—,"1,383,855","(1,383,855)",—
,—,—,"28,057","(4,349,259)","(4,349,259)","(8,670,461)"
,"1,581,547","1,691,151","131,918","1,383,855","23,741,000","28,529,471"
